"id_forum","forum_name","id_discussion","discussion_name","id_post","userid"
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57220,1557
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57271,1413
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57527,1506
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57528,1443
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57586,1501
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57643,1625
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57740,532
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57808,1580
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57883,1601
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",57894,1601
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58056,1571
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58062,1571
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58084,1578
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58156,1535
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58179,1539
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58351,1438
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58362,1628
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58389,1540
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58491,1546
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58538,1513
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58550,1506
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58657,1538
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58676,1462
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58680,1412
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58712,1587
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58759,1475
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58781,1567
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58956,1617
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58960,1447
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58971,1504
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58973,1447
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58974,1447
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",58992,1534
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59147,1559
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59201,1521
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59209,1530
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59217,1585
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59296,1551
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59316,1441
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59330,1525
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59361,455
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59447,1593
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59482,1576
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59491,1508
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59496,1446
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59575,1569
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59635,1455
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59677,1541
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59682,1608
486,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",1867,"1º FÓRUM TEMÁTICO - As Cantigas Medievais Trovadorescas",59921,1580
